CATALOG -> LIBRARY OPAC -- Totals by All URLs
130505 thru 130505 No filters in effect
Host URL	Hits
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=gzG2mBIow_2GbkFlN35fo-Fw_wZlx&SEQ=20130505163420	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=J2g-Zn6Ph7lbzGQsvgwtE2hcx3IB_&SEQ=20130505132348	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=C56aP0d-ypHevX8KgyhwTzj6h7ZGn&SEQ=20130505195549	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=MQlUdwa34iujf5D7gCkbOBD4i4M7n&SEQ=20130505141137	3
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.14088.jpg	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=RnVcFX5HBdiJbO4dl6nAujvnteWC&SEQ=20130505093604	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=h4oU84nwK6mHlpeo2z_V0rekH61li&SEQ=20130505192558	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=REblRnVdNZX5rkDxtwQTvlDp5Z8rh&SEQ=20130505181932	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=JMgzPgfednYjZE7fScnzEnaQ4FjMW&SEQ=20130505170357	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=NN4H4iLFdnxm7DQJjdTahugATvBNp&SEQ=20130505102726	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=FyYFBbZ6RwbH7yxTaUu_wpAqyPrhA&SEQ=20130505180341	3
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?authenticate=Y&PID=m4QjH59Lr_AEQCk4z9TbKO6Pdn127&SEQ=20130505195135&PAGE=pbPatron	3
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.31421.jpg	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=9_HrbO0EZqdh-g8akQaTw6FvXaCoq&SEQ=20130505121647	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=43RfjbX4ezPvATXeFqucLrsxAkIsL&SEQ=20130505113810	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=NCU3nFQvvjIsk3QPHbJTNzKIF4NP&SEQ=20130505145557	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=FY5SVI5-D2efGLuCo1xS5cmrLsqfm&SEQ=20130505205845	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=d1sbHMOT5dH7hpAvXPmrDyxSpU_7x&SEQ=20130505202636	3
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB4.23946.jpg	3
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB5.19977.jpg	3
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?Search%5FArg=tarrow%20s&Search%5FCode=NAME%5F&CNT=50&PID=wSK2-H_u6HsN-DI3WuH2DH4TaXNBS&BROWSE=2&HC=36&SID=1	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=SH2TBEE7YFIHYeHbTBjMgtkZqZwbm&SEQ=20130505193303	3
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB1.19977.jpg	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=m2REAIB8ZrVdwTf0EZXHez-dyPrh&SEQ=20130505214109	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=3TOWBrxo4mcjNRz9HlZgAG9qZ5hws&SEQ=20130505103212	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=9f_M2ooIEzR3rGGoC_rKbVdNumKAb&SEQ=20130505114031	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=DlEI7Ls5_v5l_wLf56g-jS8vRvCtJ&SEQ=20130505131831	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=TyPAqHi4FBDeyGImSVcymkGjg3tM&SEQ=20130505152806	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=t5ZyhuXm4iZqoy1PMY1nuG3tndiQ&SEQ=20130505223316	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=NRz6bMCEBPtVFuUmKAURAJcpUGGv&SEQ=20130505220801	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=uHpk4njMoUihf5D7gCkbOBD4i4M7n&SEQ=20130505134756	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=-yYFezPbJ3GzFJuCojDImCE0qSmwL&SEQ=20130505170843	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=uq0vwkkWyGB_Cog-DdJ6KlXsO-IEi&SEQ=20130505112942	3
https://catalog.library.cornell.edu/cgi-bin/Ptmb.cgi?fn=THUMB5.15683.jpg	3
https://catalog.library.cornell.edu/kcgi-bin/kerbonly.cgi?PAGE=pbPatron&PID=qjCE-XXrLaG4bkGwh5UnSZn9H6Ye8&SEQ=20130505141808	3
https://catalog.library.cornell.edu/cgi-bin/Pwebrecon.cgi?SC=Redirect%7CN&SA=Neugebauer%2C%20O%2E%20%28Otto%29%2C%201899%2D1990&PID=woFLZrJ6_2pRvjISh6myoBgV8I5AO&BROWSE=1&HC=29&SID=2	3
